Entité,Type d'entité,Fréquence
D. Duprez,PER,34
IV,LOC,34
Villeneuve d'Ascq,PER,34
DJELLAL Faridah,PER,34
KOKOREFF Michel,LOC,34
Territoires,LOC,33
ACTIVITÉS,ORG,33
Journées IFRESI,MISC,33
Roubaix-Tourcoing,LOC,33
Contributions,MISC,33
Opération,MISC,33
Arras,LOC,33
Portugal,LOC,33
Commission Européenne,ORG,33
Ville,LOC,33
Juin,MISC,33
GALLOUJ Camai,MISC,33
FORMATION,MISC,32
Communauté Européenne,ORG,32
Dunkerque,LOC,32
C,MISC,32
DURIEZ Bruno,PER,32
Serge,PER,32
GUIGNET,MISC,32
CERAPS,ORG,32
Journées,MISC,31
OPÉRATION NOUVELLE,MISC,31
Anne,PER,31
CEE,ORG,31
DEMALS,MISC,31
Grèce,LOC,31
Fédérico,LOC,31
"opération
Ouvrages",MISC,31
Martuccelli D.,PER,31
VILLES,MISC,30
EMPLOI,ORG,30
Fédération,LOC,30
DUPREZ,LOC,30
Economica,ORG,30
Réseaux,LOC,30
CRAC,MISC,30
Economie,PER,30
Section CNU,ORG,30
I'IFRÉSI,PER,30
PIR-Villes,LOC,29
Claude,PER,29
Commissariat Général du Plan,LOC,29
Gérard MARCOU,PER,29
Frank Moulaert,PER,29
Martine,PER,29
SERVICES,ORG,28
POLITIQUES PUBLIQUES,MISC,28
CORNUEL Didier,MISC,28
département du Nord,LOC,28
ANPE,ORG,28
Univ,LOC,28
l'Europe du Nord-Ouest,LOC,27
Conseil Régional Nord-Pas,LOC,27
HARDY,ORG,27
François,PER,27
Recherches,LOC,27
Thèse,LOC,27
Lens,LOC,27
GALLOUJ,ORG,27
T.,MISC,27
Sociétés,MISC,27
Contribution,PER,27
GUGENHEIM Francis,PER,27
CLERSÉ,LOC,27
Moulaert,PER,27
IE,ORG,26
Objet,MISC,26
OPERATION EN COURS,LOC,26
GAYOT,ORG,26
Ph,MISC,26
AUTES,ORG,26
Ed,ORG,26
Tokyo,LOC,26
Pologne,LOC,26
IV,MISC,26
MOULAERT Frank,ORG,26
DEMAZIÈRE,ORG,26
ENIC,ORG,25
Lille III,LOC,25
CONVERT,ORG,25
Bilan,LOC,25
Quels,LOC,25
Christophe,PER,25
DEMAILLY,ORG,25
Québec,LOC,25
GADREY J.,ORG,25
KRIFA Hadjila,ORG,25
Gérard,PER,25
Ed,LOC,25
Dynamiques,LOC,25
Dominique DUPREZ,PER,25
CLERSÉ-IFRÉSI,LOC,25
THOMAS Bernadette,PER,25
LAURENT A.,PER,25
Objectifs,MISC,24
USTL,ORG,24
Patrice GREVET,PER,24
CHARLON,ORG,24
Gadrey,LOC,24
Cahiers Lillois d'Economie,MISC,24
EHESS,ORG,24
Sabine,PER,24
CLES,ORG,24
Suisse,LOC,24
Barcelone,LOC,24
PREDIT,ORG,24
Michèle,PER,24
Politiques,LOC,23
KRIFA,ORG,23
DOLEZ,MISC,23
ORGANISATION,ORG,23
LAST,MISC,23
N,PER,23
Sylvie,PER,23
Conseil Régional Nord,LOC,23
Maastricht,LOC,23
Christian MAHIEU,PER,23
URA,MISC,23
Faridah DJELLAL,PER,23
LEFEBVRE Bénédicte,PER,23
Economie,MISC,22
Lise,LOC,22
Plan,LOC,22
Si,MISC,22
académie de Lille,LOC,22
Anvers,LOC,22
TERRITOIRES,MISC,22
La Découverte,LOC,22
Patrick,PER,22
U.A N,ORG,22
Union européenne,ORG,22
MARCOU Gérard,MISC,22
AUTÈS Michel,ORG,22
PUDL,ORG,22
DOLEZ B.,MISC,22
MUTATIONS,MISC,21
TRAJECTOIRES,MISC,21
Comité,ORG,21
DELPIERRE,ORG,21
E,LOC,21
THÈME,ORG,21
Strasbourg,LOC,21
II,LOC,21
Décembre,PER,21
Francis CALCOEN,PER,21
Contrat de Plan,MISC,21
CERSATÉS,MISC,21
PRAG,MISC,21
DG XII,PER,21
BAZIN,MISC,21
I,LOC,20
Santé,LOC,20
BDI,ORG,20
Enseignement Supérieur,ORG,20
Approches,LOC,20
États-Unis,LOC,20
GREVET,ORG,20
MINARD,ORG,20
CEREQ,ORG,20
TRAVAIL,ORG,20
MRT,ORG,20
ENTREPRISES,ORG,20
PIRTTEM,ORG,20
Région Nord-Pas-de-Calais,LOC,20
II,MISC,20
GUGENHEIM,ORG,20
Boulogne,LOC,20
J. Gadrey,PER,20
Kourchid,LOC,20
Jean GADREY,PER,20
Etude,LOC,20
London,LOC,20
Bertrand ZUINDEAU,PER,20
Prof,MISC,20
G. Marcou,PER,20
RFA,LOC,20
Institutions,ORG,20
I.F.R.E.S.I.,LOC,20
DATAR,ORG,20
Ministère de l'Equipement,ORG,20
Suède,LOC,20
KOURCHID Olivier,LOC,20
FORSÉ Michel,MISC,20
THUMERELLE Pierre-Jean,LOC,20
Ouvrages,LOC,20
Lieu,LOC,20
CHRN,MISC,19
URBAINES,MISC,19
Entreprises,ORG,19
DR,ORG,19
Lise DEMAILLY,PER,19
Articles,LOC,19
Février,LOC,19
ENTREPRISES,MISC,19
Sciences Economiques,ORG,19
Industrie,LOC,19
POLITIQUES,MISC,19
CEPE,MISC,19
Regional Research,ORG,19
CALAIS,ORG,19
DEBOURSE Jean-Pierre,PER,19
UMR,MISC,19
PAILOT,MISC,19
Lille 2,LOC,18
DEMAZIERE,MISC,18
Bernard CONVERT,PER,18
Université de Lille 1,LOC,18
DEMAILLY Lise,PER,18
Dir,ORG,18
Espace-Populations-Sociétés,LOC,18
Irlande,LOC,18
tunnel sous la Manche,LOC,18
Communication,ORG,18
Sida,ORG,18
Déviance,LOC,18
Genève,LOC,18
Bilbao,LOC,18
Programme,ORG,18
Conseil Régional,LOC,18
LILLE,LOC,18
Jean Gadrey,PER,18
Chargé de Recherche,MISC,18
Hongrie,LOC,18
Actes du colloque,MISC,18
Gérard Gayot,PER,18
MSH,MISC,18
DELDREVE,ORG,18
PATY Sonia,MISC,18
CPER,ORG,18
Web,MISC,18
Emploi,PER,17
L'impact,ORG,17
Montpellier,LOC,17
DEMAILLY,MISC,17
VERMELLE Marie-Christine,LOC,17
Enseignement Supérieur,MISC,17
C. Gallouj,PER,17
F. Moulaert,PER,17
Alain DESREUMAUX,PER,17
Pas de Calais,LOC,17
Histoire,ORG,17
Valenciennois,LOC,17
Pierre-Jean THUMERELLE,MISC,17
Europe du Nord-Ouest,LOC,17
F. DJELLAL,PER,17
Responsable,MISC,17
Mahieu,MISC,17
Autès,PER,17
CNAF,LOC,17
CALCOEN,MISC,17
CRGI,ORG,17
C.N.R.S.,MISC,17
Villeneuve d' Ascq,PER,17
M.,PER,17
CHANGEMENT,ORG,17
Liège,LOC,17
Nord Pas,LOC,17
COT,ORG,17
"Chercheurs
CLERSÉ",MISC,17
Techniques,LOC,17
Naples,LOC,17
Université d'Artois,LOC,17
HORN,MISC,17
LARU,MISC,16
Communication,LOC,16
François MILLEQUANT,PER,16
Production,MISC,16
F. Gallouj,PER,16
Les,LOC,16
Hubert,PER,16
Guy,PER,16
Milan,LOC,16
Artois,LOC,16
Métropole,LOC,16
AUTES,MISC,16
Dominique,LOC,16
B. Dolez,PER,16
Organismes,LOC,16
Langue Française,MISC,16
Education,LOC,16
Méthodes,LOC,16
TECHNICIENS,ORG,16
li,PER,16
Aix-en-Provence,LOC,16
Ministère,LOC,16
Septentrion,ORG,16
OFIP-USTL,MISC,16
Danemark,LOC,16
DUPREZ Dominique,LOC,16
CALCOEN Francis,PER,16
HORN François,LOC,16
CASTELAIN Damien,ORG,16
Dates,PER,16
PRYEN S.,LOC,16
PROGRAMME,ORG,15
Géographie Humaine,LOC,15
DEA,MISC,15
MILLEQUANT,ORG,15
Nom,MISC,15
FORMATION,ORG,15
François STANKIEWICZ,PER,15
Étude,LOC,15
CONSTRUCTION,ORG,15
Poitiers,LOC,15
IVèmes,MISC,15
ENGRAND Sylvie,PER,15
Pratiques,LOC,15
Tours,LOC,15
Camai GALLOUJ,MISC,15
Jean-Philippe BOUSSEMART,PER,15
Martine DELPIERRE,PER,15
MASSON,MISC,15
Bernard DELMAS,PER,15
Cécile SOUDAN,PER,15
P.M.E.,MISC,15
Didier CORNUEL,PER,15
Laboratoire,LOC,15
Colloque international,MISC,15
Logement,LOC,15
CRESSON,LOC,15
Amsterdam,LOC,15
BREUILLARD,ORG,15
J',LOC,15
EA,ORG,15
VERLEY,ORG,15
Prénom Unité,ORG,15
RIBAULT Thierry,PER,15
in France,LOC,15
DARES,MISC,15
CRESSON Geneviève,LOC,15
Cities,LOC,15
Villeneuve-d'Ascq,LOC,15
BOIDIN B.,MISC,15
Hellier J.,PER,15
B.Dolez,LOC,15
Capital Humain et Mobilité,PER,14
Délégation Régionale,LOC,14
MC,LOC,14
Michel PINET,PER,14
EDF,ORG,14
Nicole,PER,14
Thierry RIBAULT,PER,14
Cultures,LOC,14
France Télécom,ORG,14
Vèmes,LOC,14
Pouvoirs,LOC,14
Europe Centrale,LOC,14
Hors Série,LOC,14
Thierry DEMALS,PER,14
Ruhr,LOC,14
Manche,LOC,14
Bénédicte,MISC,14
VERVAEKE Monique,ORG,14
Picardie,LOC,14
P.J. Thumerelle,PER,14
MARCHAND,ORG,14
PROJET,MISC,14
Florence,LOC,14
Monsieur,PER,14
Gérard GAYOT,PER,14
MARCOU,MISC,14
"Chercheurs
LAST-CLERSÉ",MISC,14
MAUROY Hervé,PER,14
BELANGER Monique,MISC,14
Université des sciences,ORG,14
Amérique,LOC,14
Mansell,PER,14
XXIe,MISC,14
v~,PER,14
Développement durable,ORG,14
Sciences Po,ORG,14
PCP,ORG,14
CRAC,LOC,13
Comité de Direction,MISC,13
Douai,LOC,13
Renault,ORG,13
MIRE,MISC,13
Pierre MASSON,PER,13
Formation Professionnelle,MISC,13
Ecole,ORG,13
TRANSFORMATIONS,ORG,13
Bilan,PER,13
IUFM,MISC,13
CNAM,ORG,13
Journées de l'IFRESI,MISC,13
Francis GUGENHEIM,PER,13
R-D,LOC,13
F. Djellal,PER,13
T. Ribault,PER,13
Communauté européenne,ORG,13
Histoire,PER,13
Atlas,MISC,13
RDA,ORG,13
Klaus GERTH,PER,13
Sedan,LOC,13
La France,LOC,13
Presses,LOC,13
RENARD,ORG,13
PUF,LOC,13
Contrat de Plan Etat-Région,MISC,13
Geneviève,LOC,13
Demazière,PER,13
Université de Manchester,LOC,13
DEVELOPPEMENT,ORG,13
MILLEQUANT François,MISC,13
ENSEIGNANTS,ORG,13
Christian,PER,13
Habitat,LOC,13
Benoît,PER,13
Hervé,PER,13
Elodie,PER,13
SEC,ORG,13
Université du Québec,ORG,13
Vienne,LOC,13
Economies,MISC,13
Annie L.,PER,13
Enterprises and Society,ORG,13
"Chercheurs
CRAPS",MISC,13
Verviers,LOC,13
G,LOC,13
Métropoles,LOC,13
JA YET Hubert,MISC,13
MONFROY B.,MISC,13
Comité National,ORG,12
Recherches Sociologiques,LOC,12
PINET,MISC,12
EL ASRAOUI,ORG,12
L. Demailly,PER,12
AL,ORG,12
Présentation de l'opération,MISC,12
Rapport pour la,MISC,12
RAPPORTS,ORG,12
Michel FEUTRIE,PER,12
Université de Lille I,ORG,12
MONFROY Brigitte,ORG,12
IR,ORG,12
Frédéric DUMONT,PER,12
"Revue
Française de Gestion",MISC,12
MOULAERT F.,PER,12
Pas-de-calais,LOC,12
NACSIS,MISC,12
Logique,PER,12
Entreprises,LOC,12
Résultats,PER,12
Pr,MISC,12
O. KOURCHID,PER,12
ADEME,ORG,12
FNSP,ORG,12
G. Gayot,PER,12
Cardiff,LOC,12
Doctorante,LOC,12
Laboratoire de Géographie Humaine,PER,12
Mai,LOC,12
Réseau,LOC,12
La Documentation Française,MISC,12
Ch,LOC,12
Monique,MISC,12
SIMON Michel,PER,12
Juillet,LOC,12
de France,LOC,12
Journée,PER,12
Durée,LOC,12
Bassin Minier,LOC,12
Lisbonne,LOC,12
Faïz,PER,12
ARTICLE,ORG,12
Sylvie,MISC,12
Nicolas,MISC,12
LECLERC,ORG,12
Eurorégion,MISC,12
GRH,MISC,12
JANY-CATRICE Florence,MISC,12
Eds,LOC,12
"opération
Contributions",MISC,12
Pascal,PER,12
Jeremy Bentham,PER,12
Wilson,PER,12
DUHAMEL Sabine,PER,12
RENARD Jean-Pierre,PER,12
SAWICKI,MISC,12
VILLALBA Bruno,PER,12
Conseil régional,LOC,12
DIETRICH Anne,PER,12
"Publications
Ouvrages",MISC,12
OPERATION NOUVELLE,MISC,12
Johan,LOC,12
GHILLEBAERT Edwige,ORG,12
LÉNÉ,MISC,12
GRIVILLERS Éric,MISC,12
DEMAILL Y L.,ORG,12
ROUSSEL,MISC,12
Vélocité,LOC,12
Agence de l'Environnement,ORG,12
Vélocité,ORG,12
MEDÉE,MISC,12
Nord- Pas,LOC,11
UVHC,MISC,11
LABORES,LOC,11
INFORMATION,MISC,11
ENVIRONNEMENT,ORG,11
ÉCONOMIE,MISC,11
Souham,ORG,11
GDR,ORG,11
Sociologie,MISC,11
JANY-CATRICE Florence,ORG,11
CR Sociologie,ORG,11
Demailly,LOC,11
Feutrie,LOC,11
MASSON Pierre,PER,11
Stratégies,ORG,11
Catherine,MISC,11
Formation-Emploi,MISC,11
FEUTRIE,ORG,11
Genèse,MISC,11
Hélène,MISC,11
FEUTRIE Michel,PER,11
Projet,MISC,11
C. Mahieu,PER,11
O. Kourchid,PER,11
Faïz GALLOUJ,PER,11
Presses Universitaires de Lille,PER,11
Pays,LOC,11
Communauté Urbaine de Lille,LOC,11
CLERSE-IFRESI,ORG,11
INDUSTRIES,MISC,11
Nancy,LOC,11
PRODUCTION,ORG,11
XIXème,MISC,11
Editions,LOC,11
Université de Valenciennes,ORG,11
Jean-Pierre RENARD,PER,11
Benjamin KOSTRUBIEC,PER,11
Université de Liège,LOC,11
NORD-PAS,ORG,11
Geneviève CRESSON,PER,11
Stéphane,PER,11
Christian Mahieu,PER,11
Evaluation,MISC,11
Frontières,LOC,11
Athènes,LOC,11
O.Kourchid,ORG,11
Moulaert Frank,PER,11
Convention,MISC,11
Béthune,LOC,11
Université,LOC,11
FEDER,ORG,11
Université du Littoral,ORG,11
MENESR,MISC,11
Contrat de Plan État-Région,MISC,11
Etat-Région,LOC,11
Luxembourg,LOC,11
JACOB Fabrice,ORG,11
Faridah,LOC,11
WEINSTEIN Olivier,PER,11
Équipes,LOC,11
Université de Lille 2,ORG,11
Partenaire,LOC,11
HERAN Frédéric,ORG,11
JA YET Hubert,PER,11
CALVO,ORG,11
PARIS Didier,MISC,11
Revue d'histoire moderne et contemporaine,MISC,11
GLON Eric,LOC,11
Bernard Dolez,PER,11
Belin,LOC,11
CHAUTARD,LOC,11
Johan,MISC,11
LAZEGA,ORG,11
Maîtrise de l'Energie,LOC,11
MSH,ORG,11
I'IFRÉSI,LOC,11
ULCO,MISC,11
DEVETTER F-X.,LOC,11
NUSSBAUMER J.,MISC,11
Chusseau N.,PER,11
ECK J-F.,LOC,11
PÉRIODE,ORG,10
OPÉRATIONS,ORG,10
INSERTION,MISC,10
PERSONNES,MISC,10
Conseil Régional du Nord,LOC,10
Polytechnique de Lille,LOC,10
EUROPÉENNES,MISC,10
Pascal,MISC,10
SCHEER,MISC,10
LGH,MISC,10
Christine,MISC,10
F. Stankiewicz,PER,10
CEREQ,MISC,10
Analyser,PER,10
Conseil Régional du Nord-Pas de Calais,LOC,10
Trajectoires,PER,10
VERMELLE,MISC,10
IRESCO,ORG,10
OPÉRATION,ORG,10
NFI,ORG,10
Elisabeth CHARLON,PER,10
Ministère du Travail,ORG,10
Lille II,LOC,10
région Nord-Pas-de-Calais,LOC,10
Organisation,ORG,10
IFRESI-CNRS,ORG,10
BRUYELLE,MISC,10
UAP,MISC,10
GALLOUJ,MISC,10
Gestion,MISC,10
Financements,MISC,10
Bordeaux,LOC,10
Jean-Pierre DEBOURSE,PER,10
BOUSSEMART,ORG,10
États allemands,LOC,10
États,LOC,10
DATAR,MISC,10
Roumanie,LOC,10
N,LOC,10
Hans HORLING,PER,10
Pr,LOC,10
Tunnel sous la Manche,LOC,10
PARIS,LOC,10
Pierre,MISC,10
Urban Studies,MISC,10
"Grande
Bretagne",LOC,10
P,LOC,10
G. Cresson,PER,10
UTES,ORG,10
Tourcoing,LOC,10
Francis,PER,10
Bénédicte LEFEBVRE,MISC,10
CHAUVIERE Michel,MISC,10
Prostitution,MISC,10
Geneviève,PER,10
MICHELAT Guy,PER,10
Centre for,ORG,10
Institut Fédératif,ORG,10
Saragosse,LOC,10
Charleroi,LOC,10
MIRE,ORG,10
Réseau,ORG,10
Lise Demailly,PER,10
Insertion,MISC,10
DYNAMIQUE,MISC,10
Perspectives,MISC,10
Perspectives,LOC,10
Ill,MISC,10
Rotterdam,LOC,10
Construction,LOC,10
Présentation des opérations,MISC,10
IMESO,ORG,10
IFRÊSI,ORG,10
Université d'Oxford,ORG,10
Journées IFRÉSI,MISC,10
DARES,LOC,10
Petites,LOC,10
"opération
Rapports",MISC,10
Laurent,PER,10
"Chercheur
",ORG,10
De Boeck,PER,10
Nord- Pas de Calais,LOC,10
Thèse,MISC,10
POIRET Jean,PER,10
cit,MISC,10
HERAN Frédéric,PER,10
Presses Universitaires de Grenoble,PER,10
DEMAZIÈRE,MISC,10
Revue d'Economie Régionale,PER,10
Contrat,MISC,10
Avril,MISC,10
Mondialisation,PER,10
Presses Universitaires du Septentrion,PER,10
Farid,PER,10
Sergine,PER,10
MIGNOT Corinne,ORG,10
I'ADEME,MISC,10
Net,MISC,10
GLEVAREC,ORG,10
HERAN F.,MISC,10
FONCTIONNEMENT,ORG,9
CEPE,ORG,9
Direction,MISC,9
Département SHS,ORG,9
URA 1020,MISC,9
Total,ORG,9
CUVELIER,MISC,9
Jean-Cédric,MISC,9
LEGRAND,ORG,9
AUTRES,MISC,9
AUBREE,ORG,9
MRE,MISC,9
Nicole GADREY,MISC,9
N. GADREY,MISC,9
MIRE,LOC,9
Comprendre,LOC,9
Hughes,LOC,9
METIS,ORG,9
Catherine,PER,9
DEMAILLY,LOC,9
Processus,PER,9
Clés,LOC,9
OFIP,ORG,9
Revue Française de Gestion,MISC,9
INNOVATION,ORG,9
Génie Industriel,LOC,9
Jean,MISC,9
Olivier KOURCHID,PER,9
Publication,MISC,9
Kent,LOC,9
Gérard Marcou,PER,9
Tilburg,LOC,9
Structures,MISC,9
ENTREPRISE,ORG,9
Didier TERRIER,PER,9
Noëlle BURGI,PER,9
Pierre-Jean,PER,9
8),LOC,9
Frédéric HERAN,PER,9
ACTEURS,MISC,9
Christophe DEMAZIERE,PER,9
Local Economie,PER,9
Innovation,MISC,9
F. Calcoen,PER,9
Front National,ORG,9
Michel AUTES,PER,9
CALCOEN,ORG,9
Bernadette,LOC,9
IHESI,ORG,9
Plan Construction,ORG,9
Université Charles de Gaulle,LOC,9
TTC,ORG,9
Réseau Nord-Pas,LOC,9
Transmanche,LOC,9
Université de Lille II,ORG,9
Technologie,ORG,9
Sociétés Contemporaines,ORG,9
HBNPC,LOC,9
Avril,LOC,9
Thumerelle,LOC,9
Louvain-la-Neuve,LOC,9
Swyngedouw Erik,PER,9
Tourisme,MISC,9
Hadjila,PER,9
Commission des Communautés Européennes,ORG,9
Modes,PER,9
CAF,ORG,9
Philippe GUIGNET,PER,9
K,MISC,9
GLON,LOC,9
PIR Villes,ORG,9
Turin,LOC,9
ARTI,ORG,9
PRCE,ORG,9
"Université des Sciences et
Technologies de Lille",ORG,9
CADRES,ORG,9
VERMELLE MC,MISC,9
PINET Michel,PER,9
Madagascar,LOC,9
"MC)
Objet",MISC,9
Commission européenne,ORG,9
HUBERT Hervé,PER,9
Gestion 2000,MISC,9
M. Leclerc-Olive,PER,9
Thèses,LOC,9
Revue de l'OFCE,MISC,9
Sud,LOC,9
Hommes et,MISC,9
Moyen Age,LOC,9
Université de Lille 3,ORG,9
FARCY Hélène,ORG,9
Profils,PER,9
Routledge,LOC,9
JA YET Hubert,ORG,9
JAYET Hubert,PER,9
ATLAS,ORG,9
José Luis,PER,9
président de la République,PER,9
Prato,LOC,9
Ancien,MISC,9
TERRIER Didier,MISC,9
eds,MISC,9
Valérie,PER,9
A. Laurent,PER,9
Usages,LOC,9
Manchester,LOC,9
RDT,ORG,9
Annie Laurent,PER,9
DEMBINSKI Olivier,MISC,9
"F
",LOC,9
Ministère de l'Équipement,ORG,9
"Chercheurs
CLAREE",MISC,9
INRP,ORG,9
Direction de l'Action Economique,ORG,9
STEVENS Jean-François,ORG,9
REP,PER,9
CALLENS S,LOC,9
Canche,LOC,9
Actes du colloque international,MISC,9
S.OIIitrault,LOC,9
Trajectoires,LOC,8
CONVENTIONS,ORG,8
Nota,LOC,8
UFR,ORG,8
Intervention,MISC,8
MC,PER,8
CRAPS PR,MISC,8
GAY OT,MISC,8
Anne,MISC,8
A. Dietrich,PER,8
Éducation Nationale,ORG,8
F. Dumont,PER,8
A TER,LOC,8
Allocataire,PER,8
ENGRAND,MISC,8
CE,MISC,8
Direction Régionale,ORG,8
Education,MISC,8
Contrat,LOC,8
Lille-Roubaix-Tourcoing,LOC,8
Académie de Lille,ORG,8
Caisses,ORG,8
F. Jany-Catrice,PER,8
CONSEIL,ORG,8
Ministère de la Recherche,ORG,8
ECONOMIE,ORG,8
Jean GADREY,MISC,8
R.F.A.,LOC,8
Christophe EVERAERE,PER,8
AFCET,ORG,8
EVERAERE,MISC,8
"Présentation
",MISC,8
Jean-Marie SCHEER,PER,8
Conseil Régional Nord-Pas-de-Calais,LOC,8
Sandrine,PER,8
GREVET Patrice,ORG,8
VA N,ORG,8
XXème,MISC,8
Mines,LOC,8
CREA-LABORES,LOC,8
Armand Colin,PER,8
Logiques,LOC,8
EUROPE,ORG,8
Madrid,LOC,8
Observatoire,ORG,8
Ecole Normale Supérieure,ORG,8
Philippe MINARD,PER,8
Français,LOC,8
Marchés,LOC,8
Blackwell,ORG,8
GIP-RECLUS,ORG,8
Introduction,LOC,8
MARCHAND,MISC,8
L.G.H.,LOC,8
PARIS D.,PER,8
Patricia WILSON,PER,8
Revue d'Economie Régionale,MISC,8
NPC,LOC,8
Vervaeke,PER,8
F. CALCOEN,PER,8
PROCESSUS,ORG,8
CRESSON,MISC,8
OMS,ORG,8
la Ville,LOC,8
PERFORMANCES,MISC,8
L.Demailly,LOC,8
Comité Scientifique,MISC,8
Finlande,LOC,8
Droit,ORG,8
Jean-Pierre HIRSCH,PER,8
Ressources Humaines,MISC,8
AR,ORG,8
TGV,MISC,8
ELEMENTS,MISC,8
Fourmies,LOC,8
AS,ORG,8
LGH PR,MISC,8
Directeur,PER,8
CONCERNEES,MISC,8
Université,ORG,8
Rapport de recherche,MISC,8
PERIODE,ORG,8
Secrétariat d'Etat,MISC,8
Participants,LOC,8
SADA,MISC,8
Equipes,LOC,8
Canterbury,LOC,8
Géographie,MISC,8
I',MISC,8
Responsable,PER,8
Université du Kent,ORG,8
UNIV,ORG,8
L'Europe,LOC,8
CART,MISC,8
GIP,ORG,8
Hachette,ORG,8
CRAPS,LOC,8
Bassins,PER,8
"Communauté
Européenne",ORG,8
XVIe,MISC,8
UPRESA,ORG,8
TENSIONS,MISC,8
Conseil de l'IFRÉSI,ORG,8
Vincent LGH,PER,8
Hassan,LOC,8
OUVRIERS,ORG,8
Entreprises Industrielles,PER,8
RABIER Jean-Claude,ORG,8
"Chercheur
LAST-CLERSÉ",ORG,8
STANKIEWICZ François,MISC,8
"Chercheurs
LASTRÉE-CLERSÉ",MISC,8
Actes du Colloque,MISC,8
"Chercheurs
",MISC,8
Faïz Gallouj,PER,8
Norvège,LOC,8
Roskilde University,ORG,8
DEP,MISC,8
INTERREG,ORG,8
